,id_stable,Date,Content,ContentClean,Labels,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags,Flag
0,109001,2021-08-27 16:19:49+00:00,"NEW, thread: Sources tell me &amp; @LucasFoxNews Afghan refugees waited 10 hours on the tarmac at Dulles while the vetting process was completed before deplaning.","NEW, thread: Sources tell me &amp;   Afghan refugees waited 10 hours on the tarmac at Dulles while the vetting process was completed before deplaning.",disgust / neutral,6,0.04,"NEW,",,@LucasFoxNews,"Washington, DC",21,54,127,9,No hashtags,yes
1,198753,2021-01-02 07:28:04+00:00,"Thanks for Sharing your thoughts on the Afghan and Iraqi translators .... That are under threat for helping the U.S. 

 #humanrights #humanrightsviolations https://t.co/yMY027Fdpe","Thanks for Sharing your thoughts on the Afghan and Iraqi translators .... That are under threat for helping the U.S. 

 #humanrights #humanrightsviolations  ",fear / agree,7,0.0445859872611464,U.S.,https://t.co/yMY027Fdpe,,Worldwide,0,0,0,0,"['humanrights', 'humanrightsviolations']",yes
2,86458,2021-09-06 12:45:45+00:00,"@EenaRuffini @SecBlinken There are still  many SIV remain in Afghanistan.
Do something for them","    There are still  many SIV remain in Afghanistan.
Do something for them",plea - disgust / agree,6,0.081081081081081,SIV,,"@EenaRuffini, @SecBlinken",Afghanistan,0,0,2,0,No hashtags,yes
3,3083,2022-04-14 07:27:54+00:00,"if u take in a single ukranian refugee here the government pays u €500 a month, this was never an option given to ppl from syria or afghanistan","if u take in a single ukranian refugee here the government pays u €500 a month, this was never an option given to ppl from syria or afghanistan",disgust / neutral,0,0.0,,,,im gui im 26 icon@/chouNke,1,0,2,0,No hashtags,yes
4,156629,2021-08-17 10:14:02+00:00,#RefugeesWelcome always. Britain needs to open our borders and hearts to those seeking asylum from Afghanistan.,#RefugeesWelcome always. Britain needs to open our borders and hearts to those seeking asylum from Afghanistan.,hopeful / agree,4,0.036036036036036,,,,"Newcastle Upon Tyne, England",1,0,3,0,['RefugeesWelcome'],yes
5,193229,2021-05-29 07:46:28+00:00,"Indian Government invites application form for non-muslims refugees living in Afghanistan, Pakistan and Bangladesh to grant Indian Citizenship.

#refugee #pakistanihindu #pakistanihindus #bangladeshi #bangladeshihindus #afganistanhindus #hindurefugees #pakistanirefugees https://t.co/nCOdbRpvsm","Indian Government invites application form for non-muslims refugees living in Afghanistan, Pakistan and Bangladesh to grant Indian Citizenship.

#refugee #pakistanihindu #pakistanihindus #bangladeshi #bangladeshihindus #afganistanhindus #hindurefugees #pakistanirefugees  ",hopeful / neutral,7,0.025735294117647,,https://t.co/nCOdbRpvsm,,"Bengaluru South, India",0,0,1,0,"['refugee', 'pakistanihindu', 'pakistanihindus', 'bangladeshi', 'bangladeshihindus', 'afganistanhindus', 'hindurefugees', 'pakistanirefugees']",yes
6,35121,2021-12-11 06:57:54+00:00,Desperate Afghan refugees begging for resettlement and help in Indonesia. 😭 https://t.co/Z31iwHgqum,Desperate Afghan refugees begging for resettlement and help in Indonesia. 😭  ,fear / agree,3,0.0389610389610389,,https://t.co/Z31iwHgqum,,English-speaking,0,0,1,0,No hashtags,yes
7,15441,2022-02-25 01:45:29+00:00,"OMG cant Loudoun County get a break?
I'm sure it's all those well vetted Afghanistan evacuees...🤡🌏 https://t.co/yCiJa0YPGI","OMG cant Loudoun County get a break?
I'm sure it's all those well vetted Afghanistan evacuees...🤡🌏  ",disgust / disagree,7,0.07,OMG,https://t.co/yCiJa0YPGI,,English-speaking,0,0,0,0,No hashtags,yes
8,160231,2021-08-16 22:59:21+00:00,Hope @POTUS Joe Sama Bin Laden vets the Afghanistan refugees as good as his people vetted the Q grandmas on the phony AF insurrection on 1/6.,Hope   Joe Sama Bin Laden vets the Afghanistan refugees as good as his people vetted the Q grandmas on the phony AF insurrection on 1/6.,angry / disagree,9,0.0661764705882353,"Q, AF",,@POTUS,USA,0,0,0,0,No hashtags,yes
9,99735,2021-08-31 11:02:09+00:00,"May be Shaikh Sahib is using the Refugee based on technical explanation of Visa as compare to Refugee. may be, he is saying that no one from Afghanistan came as a refugee rather, #Pakistan approved Visas as per content of application. Still, we are hosting them again. https://t.co/YK2suxiq5r","May be Shaikh Sahib is using the Refugee based on technical explanation of Visa as compare to Refugee. may be, he is saying that no one from Afghanistan came as a refugee rather, #Pakistan approved Visas as per content of application. Still, we are hosting them again.  ",neutral / neutral,10,0.037037037037037,,https://t.co/YK2suxiq5r,,🗻,0,0,0,0,['Pakistan'],yes
10,8359,2022-03-17 20:44:24+00:00,"@EvacOurAllies I worked with NGO in afghanistan as interpretor i have all necessary documents for SIV  but SIV  is so postpond every messages takes 3,4 monts  i am not sad that my life is in risk but i am sad that my family is in risk , i am hide away from city and with troubles😥🙏","  I worked with NGO in afghanistan as interpretor i have all necessary documents for SIV  but SIV  is so postpond every messages takes 3,4 monts  i am not sad that my life is in risk but i am sad that my family is in risk , i am hide away from city and with troubles😥🙏",fear / refugee,10,0.0373134328358208,"I, NGO, SIV, SIV",,@EvacOurAllies,English-speaking,0,0,1,0,No hashtags,yes
11,31194,2021-12-25 19:33:12+00:00,"Afghan citizens resettlement scheme to open in January

Ministers have confirmed the Afghan citizens resettlement scheme (ACRS) will open in January.","Afghan citizens resettlement scheme to open in January

Ministers have confirmed the Afghan citizens resettlement scheme (ACRS) will open in January.",hopeful / neutral,9,0.0604026845637583,(ACRS),,,"England, United Kingdom",0,0,1,0,No hashtags,yes
12,135641,2021-08-20 14:28:09+00:00,"we stuck in limbo for almost a decade, dear resettlement countries please hear voices of poor refugees in Indonesia, being a refugees is not our choice, we were forced to flee our country. we need your urgent assist.
#ResettleAfghanRefugeesFromIndonesia https://t.co/k04Ann26XB","we stuck in limbo for almost a decade, dear resettlement countries please hear voices of poor refugees in Indonesia, being a refugees is not our choice, we were forced to flee our country. we need your urgent assist.
#ResettleAfghanRefugeesFromIndonesia  ",plea - fear / refugee,6,0.0235294117647058,,https://t.co/k04Ann26XB,,Indonesian since2013,0,23,16,1,['ResettleAfghanRefugeesFromIndonesia'],yes
13,177034,2021-08-10 13:43:34+00:00,@_saaahaaar The Afghan support and favours the Indians also speaks Volume …. We Pakistanis are the neighbours and we have given asylum to 3million Afghans till now yet you are saying we haven’t supported Afghans ???,  The Afghan support and favours the Indians also speaks Volume …. We Pakistanis are the neighbours and we have given asylum to 3million Afghans till now yet you are saying we haven’t supported Afghans ???,disgust / agree,8,0.0390243902439024,,,@_saaahaaar,English-speaking,1,0,4,0,No hashtags,yes
14,42885,2021-11-18 17:03:09+00:00,"Families have been resettled locally under the Afghan Relocations and Assistance Policy scheme, with more arriving. We can give them a warm welcome and a safe home. With colleagues, I continue to press for the need for continued efforts to evacuate and rehome vulnerable families.","Families have been resettled locally under the Afghan Relocations and Assistance Policy scheme, with more arriving. We can give them a warm welcome and a safe home. With colleagues, I continue to press for the need for continued efforts to evacuate and rehome vulnerable families.",hopeful / agree,8,0.0285714285714285,I,,,"Worthing, England",0,0,2,0,No hashtags,yes
15,185058,2021-07-16 00:37:10+00:00,"Biden defends Afghan pullout, sets evacuation for translators https://t.co/u3t7pl2GWW","Biden defends Afghan pullout, sets evacuation for translators  ",neutral / neutral,2,0.0317460317460317,,https://t.co/u3t7pl2GWW,,"New Delhi, India",0,0,0,0,No hashtags,yes
16,86794,2021-09-06 05:51:19+00:00,"Panjshir Valley completely captured: @Zabehulah_M33
#Afghanistan #Kabul #Taliban #PanjshirResistance #Panjishir https://t.co/dVOJmpkIuV","Panjshir Valley completely captured:  
#Afghanistan #Kabul #Taliban #PanjshirResistance #Panjishir  ",fear / na,8,0.08,,https://t.co/dVOJmpkIuV,@Zabehulah_M33,English-speaking,0,3,7,0,"['Afghanistan', 'Kabul', 'Taliban', 'PanjshirResistance', 'Panjishir']",yes
17,166519,2021-08-16 10:01:10+00:00,I wonder if those who go on about helping homeless soldiers in preference to asylum seekers  will still vote Tory now the Tories have utterly betrayed the sacrifice of those 456 servicemen and women killed in Afghanistan?,I wonder if those who go on about helping homeless soldiers in preference to asylum seekers  will still vote Tory now the Tories have utterly betrayed the sacrifice of those 456 servicemen and women killed in Afghanistan?,disgust / neutral,4,0.0180995475113122,I,,,"Scotland, United Kingdom",0,0,1,0,No hashtags,yes
18,192959,2021-05-31 12:19:46+00:00,"Afghan translators
to whom promises were made
soon to be slaughtered","Afghan translators
to whom promises were made
soon to be slaughtered",fear / agree,1,0.0147058823529411,,,,"NE Dallas, formerly SGV",0,3,1,0,No hashtags,yes
19,197583,2021-02-18 21:55:35+00:00,"@AndrewQuackson Early 2016, a lefty grand-aunt of mine asked me to help out a ""syrian refugee"" by hiring him to help me in the garden, which i did because i was a huge shitlib back then. He had no problem admiting he was from afghanistan and that a local lawyer was helping him stay by teaching1/","  Early 2016, a lefty grand-aunt of mine asked me to help out a ""syrian refugee"" by hiring him to help me in the garden, which i did because i was a huge shitlib back then. He had no problem admiting he was from afghanistan and that a local lawyer was helping him stay by teaching1/",disgust / neutral,2,0.0070921985815602,,,@AndrewQuackson,Rhodesia,1,0,0,0,No hashtags,yes
20,166404,2021-08-16 10:26:30+00:00,"@MNageswarRaoIPS @DrSJaishankar @MEAIndia @PMOIndia @HMOIndia So basically Afghans have the names ""common citizen"", ""taliban"", ""pakistani"" written on their forehead for our authorities to appropriately give them refugee status.
Next we can give them jobs in weapons manufacturing small scale industries under MNREGA","          So basically Afghans have the names ""common citizen"", ""taliban"", ""pakistani"" written on their forehead for our authorities to appropriately give them refugee status.
Next we can give them jobs in weapons manufacturing small scale industries under MNREGA",neutral / neutral,9,0.0342205323193916,MNREGA,,"@MNageswarRaoIPS, @DrSJaishankar, @MEAIndia, @PMOIndia, @HMOIndia",English-speaking,0,0,4,0,No hashtags,yes
21,167814,2021-08-16 04:30:08+00:00,Tragic story illustrating the possibility for the thousands left behind now. Seems absolutely crazy no better plans were put in place before withdrawal despite 6 months. Houston is home to many Afghan translators. https://t.co/PV5DnmfZGN,Tragic story illustrating the possibility for the thousands left behind now. Seems absolutely crazy no better plans were put in place before withdrawal despite 6 months. Houston is home to many Afghan translators.  ,sad / agree,4,0.0186046511627906,,https://t.co/PV5DnmfZGN,,SA-ATX-NY-GT-PTY-HOU,0,6,14,0,No hashtags,yes
22,50419,2021-10-26 00:13:36+00:00,@LindseySnell heey Lindsey how r ya?Yeah that's right they are not very safe here and definitely not wanted can you please start a relocation campaign for 5milSyrians here to save them from Turkish ppl you have none I'm sure you can handle them can you add Afghans to that while ur at it thanks,  heey Lindsey how r ya?Yeah that's right they are not very safe here and definitely not wanted can you please start a relocation campaign for 5milSyrians here to save them from Turkish ppl you have none I'm sure you can handle them can you add Afghans to that while ur at it thanks,fear / agree,6,0.0212765957446808,,,@LindseySnell,English-speaking,0,0,1,0,No hashtags,yes
23,25670,2022-01-16 02:58:46+00:00,"Unfortunately another Afghan Refugee committed suicide in Indonesia,Pekanbaru city.😭
#HelpRefugees_Indonesia","Unfortunately another Afghan Refugee committed suicide in Indonesia,Pekanbaru city.😭
#HelpRefugees_Indonesia",sad / agree,8,0.074074074074074,,,,English-speaking,0,4,10,0,['HelpRefugees_Indonesia'],yes
